"ISO","year","armed_conflict"
"AFG",2000,1
"AFG",2001,1
"AFG",2002,1
"AFG",2003,1
"AFG",2004,1
"AFG",2005,1
"AFG",2006,1
"AFG",2007,1
"AFG",2008,1
"AFG",2009,1
"AFG",2010,1
"AFG",2011,1
"AFG",2012,1
"AFG",2013,1
"AFG",2014,1
"AFG",2015,1
"AFG",2016,1
"AFG",2017,1
"AFG",2018,1
"AFG",2019,1
"AGO",2000,1
"AGO",2001,1
"AGO",2002,1
"AGO",2003,1
"AGO",2004,1
"AGO",2005,1
"AGO",2006,0
"AGO",2007,0
"AGO",2008,1
"AGO",2009,0
"AGO",2010,1
"AGO",2011,0
"AGO",2012,0
"AGO",2013,NA
"AGO",2014,0
"AGO",2015,0
"AGO",2016,0
"AGO",2017,1
"AGO",2018,1
"AGO",2019,0
"ALB",2000,0
"ALB",2001,NA
"ALB",2002,NA
"ALB",2003,NA
"ALB",2004,NA
"ALB",2005,NA
"ALB",2006,NA
"ALB",2007,NA
"ALB",2008,NA
"ALB",2009,NA
"ALB",2010,NA
"ALB",2011,NA
"ALB",2012,NA
"ALB",2013,NA
"ALB",2014,NA
"ALB",2015,NA
"ALB",2016,NA
"ALB",2017,NA
"ALB",2018,NA
"ALB",2019,NA
"AND",2000,NA
"AND",2001,NA
"AND",2002,NA
"AND",2003,NA
"AND",2004,NA
"AND",2005,NA
"AND",2006,NA
"AND",2007,NA
"AND",2008,NA
"AND",2009,NA
"AND",2010,NA
"AND",2011,NA
"AND",2012,NA
"AND",2013,NA
"AND",2014,NA
"AND",2015,NA
"AND",2016,NA
"AND",2017,NA
"AND",2018,NA
"AND",2019,NA
"ARE",2000,NA
"ARE",2001,NA
"ARE",2002,NA
"ARE",2003,NA
"ARE",2004,NA
"ARE",2005,NA
"ARE",2006,NA
"ARE",2007,NA
"ARE",2008,NA
"ARE",2009,NA
"ARE",2010,NA
"ARE",2011,0
"ARE",2012,NA
"ARE",2013,NA
"ARE",2014,NA
"ARE",2015,NA
"ARE",2016,NA
"ARE",2017,NA
"ARE",2018,NA
"ARE",2019,NA
"ARG",2000,NA
"ARG",2001,NA
"ARG",2002,NA
"ARG",2003,NA
"ARG",2004,NA
"ARG",2005,NA
"ARG",2006,NA
"ARG",2007,NA
"ARG",2008,NA
"ARG",2009,NA
"ARG",2010,NA
"ARG",2011,NA
"ARG",2012,NA
"ARG",2013,NA
"ARG",2014,NA
"ARG",2015,NA
"ARG",2016,NA
"ARG",2017,NA
"ARG",2018,NA
"ARG",2019,NA
"ARM",2000,NA
"ARM",2001,NA
"ARM",2002,NA
"ARM",2003,NA
"ARM",2004,NA
"ARM",2005,NA
"ARM",2006,0
"ARM",2007,0
"ARM",2008,NA
"ARM",2009,NA
"ARM",2010,NA
"ARM",2011,NA
"ARM",2012,NA
"ARM",2013,0
"ARM",2014,0
"ARM",2015,NA
"ARM",2016,0
"ARM",2017,0
"ARM",2018,NA
"ARM",2019,0
"ATG",2000,NA
"ATG",2001,NA
"ATG",2002,NA
"ATG",2003,NA
"ATG",2004,NA
"ATG",2005,NA
"ATG",2006,NA
"ATG",2007,NA
"ATG",2008,NA
"ATG",2009,NA
"ATG",2010,NA
"ATG",2011,NA
"ATG",2012,NA
"ATG",2013,NA
"ATG",2014,NA
"ATG",2015,NA
"ATG",2016,NA
"ATG",2017,NA
"ATG",2018,NA
"ATG",2019,NA
"AUS",2000,NA
"AUS",2001,NA
"AUS",2002,NA
"AUS",2003,NA
"AUS",2004,NA
"AUS",2005,NA
"AUS",2006,NA
"AUS",2007,NA
"AUS",2008,NA
"AUS",2009,NA
"AUS",2010,NA
"AUS",2011,NA
"AUS",2012,NA
"AUS",2013,NA
"AUS",2014,NA
"AUS",2015,NA
"AUS",2016,NA
"AUS",2017,NA
"AUS",2018,NA
"AUS",2019,0
"AUT",2000,NA
"AUT",2001,NA
"AUT",2002,NA
"AUT",2003,NA
"AUT",2004,NA
"AUT",2005,NA
"AUT",2006,NA
"AUT",2007,NA
"AUT",2008,NA
"AUT",2009,NA
"AUT",2010,NA
"AUT",2011,NA
"AUT",2012,NA
"AUT",2013,NA
"AUT",2014,NA
"AUT",2015,NA
"AUT",2016,NA
"AUT",2017,NA
"AUT",2018,NA
"AUT",2019,NA
"AZE",2000,0
"AZE",2001,0
"AZE",2002,0
"AZE",2003,NA
"AZE",2004,NA
"AZE",2005,0
"AZE",2006,0
"AZE",2007,0
"AZE",2008,0
"AZE",2009,1
"AZE",2010,0
"AZE",2011,0
"AZE",2012,0
"AZE",2013,0
"AZE",2014,0
"AZE",2015,1
"AZE",2016,1
"AZE",2017,1
"AZE",2018,1
"AZE",2019,0
"BDI",2000,1
"BDI",2001,1
"BDI",2002,1
"BDI",2003,1
"BDI",2004,1
"BDI",2005,1
"BDI",2006,1
"BDI",2007,1
"BDI",2008,1
"BDI",2009,1
"BDI",2010,NA
"BDI",2011,NA
"BDI",2012,0
"BDI",2013,0
"BDI",2014,0
"BDI",2015,1
"BDI",2016,1
"BDI",2017,1
"BDI",2018,1
"BDI",2019,1
"BEL",2000,NA
"BEL",2001,NA
"BEL",2002,NA
"BEL",2003,NA
"BEL",2004,NA
"BEL",2005,NA
"BEL",2006,NA
"BEL",2007,NA
"BEL",2008,NA
"BEL",2009,NA
"BEL",2010,NA
"BEL",2011,NA
"BEL",2012,NA
"BEL",2013,NA
"BEL",2014,NA
"BEL",2015,NA
"BEL",2016,NA
"BEL",2017,1
"BEL",2018,NA
"BEL",2019,0
"BEN",2000,NA
"BEN",2001,NA
"BEN",2002,NA
"BEN",2003,NA
"BEN",2004,NA
"BEN",2005,NA
"BEN",2006,NA
"BEN",2007,NA
"BEN",2008,NA
"BEN",2009,NA
"BEN",2010,NA
"BEN",2011,NA
"BEN",2012,NA
"BEN",2013,NA
"BEN",2014,NA
"BEN",2015,NA
"BEN",2016,NA
"BEN",2017,NA
"BEN",2018,NA
"BEN",2019,NA
"BFA",2000,NA
"BFA",2001,NA
"BFA",2002,NA
"BFA",2003,NA
"BFA",2004,NA
"BFA",2005,NA
"BFA",2006,NA
"BFA",2007,NA
"BFA",2008,NA
"BFA",2009,NA
"BFA",2010,NA
"BFA",2011,NA
"BFA",2012,NA
"BFA",2013,NA
"BFA",2014,NA
"BFA",2015,NA
"BFA",2016,NA
"BFA",2017,1
"BFA",2018,1
"BFA",2019,1
"BGD",2000,0
"BGD",2001,1
"BGD",2002,1
"BGD",2003,0
"BGD",2004,0
"BGD",2005,1
"BGD",2006,1
"BGD",2007,1
"BGD",2008,0
"BGD",2009,0
"BGD",2010,0
"BGD",2011,0
"BGD",2012,0
"BGD",2013,0
"BGD",2014,1
"BGD",2015,0
"BGD",2016,0
"BGD",2017,1
"BGD",2018,1
"BGD",2019,1
"BGR",2000,NA
"BGR",2001,NA
"BGR",2002,NA
"BGR",2003,NA
"BGR",2004,NA
"BGR",2005,NA
"BGR",2006,NA
"BGR",2007,NA
"BGR",2008,NA
"BGR",2009,NA
"BGR",2010,NA
"BGR",2011,NA
