"Year","ISO","Earthquake","Drought"
2000,"AFG",0,1
2000,"ARM",0,1
2000,"AZE",1,1
2000,"BGD",1,0
2000,"BGR",0,1
2000,"BIH",0,1
2000,"BOL",0,1
2000,"CHN",1,1
2000,"COL",1,0
2000,"CUB",0,1
2000,"CYP",0,1
2000,"GEO",0,1
2000,"GRC",1,0
2000,"HND",0,1
2000,"IDN",1,0
2000,"IND",0,1
2000,"IRN",1,0
2000,"ISL",1,0
2000,"JAM",0,1
2000,"JOR",0,1
2000,"JPN",1,0
2000,"MDA",0,1
2000,"MDG",0,1
2000,"MEX",1,0
2000,"MNG",0,1
2000,"NIC",1,1
2000,"PNG",1,0
2000,"ROU",0,1
2000,"RUS",1,0
2000,"TJK",1,1
2000,"TKM",1,0
2000,"TUR",1,0
2000,"TZA",1,0
2000,"USA",1,1
2000,"UZB",0,1
2001,"AFG",1,0
2001,"AGO",0,1
2001,"BFA",0,1
2001,"BRA",0,1
2001,"CHN",1,1
2001,"CMR",0,1
2001,"GRC",1,0
2001,"GTM",1,1
2001,"HND",0,1
2001,"IDN",1,0
2001,"IND",1,0
2001,"IRN",1,0
2001,"JPN",1,0
2001,"KHM",0,1
2001,"KOR",0,1
2001,"LKA",0,1
2001,"MLI",0,1
2001,"MOZ",0,1
2001,"MRT",0,1
2001,"NAM",0,1
2001,"NER",0,1
2001,"NIC",0,1
2001,"PAK",1,0
2001,"PER",1,0
2001,"PNG",1,0
2001,"SLV",1,1
2001,"SWZ",0,1
2001,"TCD",0,1
2001,"TUR",1,0
2001,"TZA",1,0
2001,"USA",1,0
2001,"ZWE",0,1
2002,"AFG",1,0
2002,"ARG",1,0
2002,"AUS",0,1
2002,"BRA",0,1
2002,"CHN",1,1
2002,"CPV",0,1
2002,"EGY",1,0
2002,"GEO",1,0
2002,"GMB",0,1
2002,"GNB",0,1
2002,"GRC",1,0
2002,"HND",0,1
2002,"IDN",1,0
2002,"IND",1,1
2002,"IRN",1,0
2002,"ITA",1,1
2002,"KHM",0,1
2002,"LSO",0,1
2002,"MDG",0,1
2002,"MEX",0,1
2002,"MWI",0,1
2002,"NAM",0,1
2002,"PAK",1,0
2002,"PER",0,1
2002,"PHL",1,1
2002,"PNG",1,0
2002,"RWA",1,0
2002,"SCG",1,0
2002,"SEN",0,1
2002,"THA",0,1
2002,"TJK",1,0
2002,"TUR",1,0
2002,"TWN",1,0
2002,"TZA",1,0
2002,"UGA",0,1
2002,"USA",0,1
2002,"VNM",0,1
2002,"VUT",1,0
2003,"AFG",1,0
2003,"ARG",0,1
2003,"BDI",0,1
2003,"BGD",1,0
2003,"BIH",0,1
2003,"CHN",1,1
2003,"CRI",1,0
2003,"DOM",1,0
2003,"DZA",1,0
2003,"ETH",0,1
2003,"GRC",1,0
2003,"HRV",0,1
2003,"HTI",0,1
2003,"HUN",0,1
2003,"IDN",1,1
2003,"IRN",1,0
2003,"ITA",1,0
2003,"JPN",1,0
2003,"KAZ",1,0
2003,"MEX",1,0
2003,"MOZ",0,1
2003,"PAN",1,0
2003,"RUS",1,1
2003,"RWA",0,1
2003,"TUR",1,0
2003,"TZA",0,1
2003,"USA",1,0
2004,"AFG",1,0
2004,"AGO",0,1
2004,"BDI",1,0
2004,"BGD",1,0
2004,"BOL",0,1
2004,"BRA",0,1
2004,"CHN",1,0
2004,"COL",1,0
2004,"CRI",1,0
2004,"CUB",0,1
2004,"DEU",1,0
2004,"DMA",1,0
2004,"DZA",1,0
2004,"GLP",1,0
2004,"HND",0,1
2004,"IDN",1,0
2004,"IND",1,0
2004,"IRN",1,0
2004,"JPN",1,0
2004,"KEN",1,1
2004,"LKA",1,0
2004,"MAR",1,0
2004,"MDV",1,0
2004,"MMR",1,0
2004,"MYS",1,0
2004,"PAK",1,0
2004,"PER",0,1
2004,"PRT",0,1
2004,"RUS",1,0
2004,"SOM",1,1
2004,"SVN",1,0
2004,"SYC",1,0
2004,"THA",1,0
2004,"TJK",1,0
2004,"TUR",1,0
2004,"TZA",1,1
2004,"ZAF",0,1
2005,"AFG",1,0
2005,"BDI",0,1
2005,"BRA",0,1
2005,"CHL",1,0
2005,"CHN",1,1
2005,"CMR",0,1
2005,"COD",1,0
2005,"DJI",0,1
2005,"ETH",0,1
2005,"IDN",1,0
2005,"IND",1,0
2005,"IRN",1,0
2005,"JPN",1,0
2005,"KEN",0,1
2005,"KHM",0,1
2005,"MDG",0,1
2005,"MLI",0,1
2005,"MOZ",0,1
2005,"MWI",0,1
2005,"NER",0,1
2005,"PAK",1,0
2005,"PER",1,0
2005,"PNG",1,0
2005,"PRY",0,1
2005,"SLV",1,0
2005,"SOM",0,1
2005,"THA",0,1
2005,"TUR",1,0
2005,"TZA",1,0
2005,"UGA",0,1
2005,"VNM",0,1
2005,"ZAF",1,0
2005,"ZMB",0,1
2006,"AFG",1,1
2006,"AUS",0,1
2006,"BGR",1,0
2006,"CHN",1,1
2006,"DZA",1,0
2006,"GNB",0,1
2006,"IDN",1,0
2006,"IRN",1,0
2006,"KGZ",1,0
2006,"LTU",0,1
2006,"MLI",0,1
2006,"MOZ",1,0
2006,"NPL",0,1
2006,"PER",0,1
2006,"RUS",1,0
2006,"SLV",1,0
2006,"TJK",1,0
2006,"TWN",1,0
2006,"TZA",0,1
2006,"USA",1,0
2007,"BRA",1,1
2007,"BRB",1,0
2007,"CHL",1,0
2007,"CHN",1,0
2007,"COL",1,0
2007,"DJI",0,1
2007,"GBR",1,0
2007,"HND",1,0
2007,"IDN",1,0
2007,"JPN",1,0
2007,"LCA",1,0
2007,"LSO",0,1
2007,"MDA",0,1
2007,"MOZ",0,1
2007,"MTQ",1,0
2007,"MWI",0,1
2007,"PER",1,0
2007,"PHL",0,1
2007,"RUS",1,0
2007,"SLB",1,0
2007,"SWZ",0,1
2007,"TJK",1,0
2007,"TLS",0,1
2007,"USA",0,1
2007,"ZWE",0,1
2008,"AFG",0,1
2008,"BDI",0,1
2008,"BOL",0,1
2008,"CHN",1,1
2008,"COD",1,0
2008,"COL",1,0
2008,"DJI",0,1
2008,"ERI",0,1
2008,"ETH",0,1
2008,"GRC",1,0
2008,"IDN",1,0
2008,"IRN",1,0
2008,"JPN",1,0
2008,"KEN",0,1
